synth_id;from_interpolation;parameter;time;value
-2;0;1;40;0.25
-2;0;1;1290;0.25
-2;0;1;4197;0.25
-2;0;1;6884;0.25
-2;0;1;9709;0.2421875
-2;0;1;9716;0.234375
-2;0;1;9733;0.2265625
-2;0;1;9749;0.2109375
-2;0;1;9766;0.1953125
-2;0;1;9782;0.1796875
-2;0;1;9799;0.1640625
-2;0;1;9816;0.1484375
-2;0;1;9833;0.140625
-2;0;1;9849;0.1328125
-2;0;1;9883;0.1171875
-2;0;1;9900;0.109375
-2;0;1;9933;0.1015625
-2;0;1;10000;0.09375
-2;0;1;10150;0.1015625
-2;0;1;10168;0.1171875
-2;0;1;10183;0.1328125
-2;0;1;10200;0.1484375
-2;0;1;10216;0.171875
-2;0;1;10233;0.1953125
-2;0;1;10251;0.2265625
-2;0;1;10270;0.25
-2;0;1;10285;0.28125
-2;0;1;10300;0.3046875
-2;0;1;10317;0.3359375
-2;0;1;10333;0.3671875
-2;0;1;10349;0.3984375
-2;0;1;10366;0.4296875
-2;0;1;10383;0.453125
-2;0;1;10400;0.484375
-2;0;1;10416;0.5078125
-2;0;1;10433;0.5390625
-2;0;1;10449;0.5625
-2;0;1;10466;0.5859375
-2;0;1;10486;0.609375
-2;0;1;10500;0.6328125
-2;0;1;10516;0.65625
-2;0;1;10533;0.6796875
-2;0;1;10549;0.6953125
-2;0;1;10569;0.71875
-2;0;1;10584;0.734375
-2;0;1;10600;0.75
-2;0;1;10616;0.765625
-2;0;1;10633;0.78125
-2;0;1;10650;0.7890625
-2;0;1;10667;0.796875
-2;0;1;10683;0.8046875
-2;0;1;10700;0.8125
-2;0;1;10733;0.8203125
-2;0;1;11574;0.828125
-2;0;1;11583;0.8203125
-2;0;1;11600;0.8125
-2;0;1;11616;0.796875
-2;0;1;11633;0.78125
-2;0;1;11650;0.7578125
-2;0;1;11666;0.7421875
-2;0;1;11683;0.7265625
-2;0;1;11699;0.7109375
-2;0;1;11716;0.6875
-2;0;1;11736;0.671875
-2;0;1;11750;0.6640625
-2;0;1;11766;0.6484375
-2;0;1;11783;0.6328125
-2;0;1;11800;0.625
-2;0;1;11817;0.6171875
-2;0;1;11833;0.609375
-2;0;1;11850;0.6015625
-2;0;1;11883;0.5859375
-2;0;1;11900;0.5859375
-2;0;1;12153;0.5859375
-2;0;1;12168;0.5859375
-2;0;1;12219;0.59375
-2;0;1;12251;0.6015625
-2;0;1;12267;0.609375
-2;0;1;12301;0.6171875
-2;0;1;12333;0.6328125
-2;0;1;12367;0.6328125
-2;0;1;12401;0.640625
-2;0;1;12702;0.6484375
-2;0;1;15537;0.6484375
-2;0;1;18557;0.6484375
-2;0;1;21519;0.6484375
-2;0;1;24245;0.6484375
-2;0;1;26823;0.6484375
-2;0;2;41;0.25
-2;0;2;1937;0.25
-2;0;2;2159;0.2578125
-2;0;2;2182;0.2734375
-2;0;2;2199;0.28125
-2;0;2;2215;0.2890625
-2;0;2;2232;0.3046875
-2;0;2;2249;0.3125
-2;0;2;2265;0.3203125
-2;0;2;2282;0.3359375
-2;0;2;2299;0.34375
-2;0;2;2315;0.359375
-2;0;2;2332;0.3671875
-2;0;2;2349;0.3828125
-2;0;2;2366;0.390625
-2;0;2;2382;0.40625
-2;0;2;2399;0.421875
-2;0;2;2419;0.4296875
-2;0;2;2434;0.4453125
-2;0;2;2449;0.453125
-2;0;2;2466;0.46875
-2;0;2;2482;0.4765625
-2;0;2;2499;0.484375
-2;0;2;2515;0.5
-2;0;2;2533;0.5078125
-2;0;2;2549;0.5234375
-2;0;2;2565;0.53125
-2;0;2;2582;0.546875
-2;0;2;2599;0.5546875
-2;0;2;2617;0.5625
-2;0;2;2632;0.578125
-2;0;2;2649;0.5859375
-2;0;2;2666;0.59375
-2;0;2;2682;0.6015625
-2;0;2;2699;0.609375
-2;0;2;2715;0.625
-2;0;2;2732;0.6328125
-2;0;2;2749;0.640625
-2;0;2;2765;0.6484375
-2;0;2;2782;0.6640625
-2;0;2;2799;0.671875
-2;0;2;2815;0.6796875
-2;0;2;2832;0.6953125
-2;0;2;2849;0.703125
-2;0;2;2865;0.7109375
-2;0;2;2882;0.7265625
-2;0;2;2899;0.734375
-2;0;2;2917;0.75
-2;0;2;2933;0.7578125
-2;0;2;2953;0.7734375
-2;0;2;2969;0.78125
-2;0;2;2986;0.796875
-2;0;2;3000;0.8046875
-2;0;2;3016;0.8125
-2;0;2;3034;0.8203125
-2;0;2;3067;0.8359375
-2;0;2;4566;0.8359375
-2;0;2;4582;0.8203125
-2;0;2;4599;0.7890625
-2;0;2;4615;0.75
-2;0;2;4632;0.7109375
-2;0;2;4649;0.671875
-2;0;2;4665;0.6328125
-2;0;2;4682;0.5859375
-2;0;2;4699;0.53125
-2;0;2;4716;0.484375
-2;0;2;4732;0.4375
-2;0;2;4749;0.390625
-2;0;2;4766;0.3515625
-2;0;2;4782;0.3125
-2;0;2;4799;0.28125
-2;0;2;4816;0.25
-2;0;2;4832;0.2265625
-2;0;2;4849;0.203125
-2;0;2;4866;0.1875
-2;0;2;4883;0.171875
-2;0;2;4899;0.1640625
-2;0;2;4916;0.15625
-2;0;2;4932;0.15625
-2;0;2;4967;0.1484375
-2;0;2;7590;0.1484375
-2;0;2;10531;0.1484375
-2;0;2;13346;0.1484375
-2;0;2;14134;0.140625
-2;0;2;14167;0.125
-2;0;2;14184;0.1171875
-2;0;2;14201;0.109375
-2;0;2;14217;0.1015625
-2;0;2;14234;0.09375
-2;0;2;14250;0.0859375
-2;0;2;14284;0.078125
-2;0;2;14300;0.078125
-2;0;2;14367;0.0625
-2;0;2;14792;0.0625
-2;0;2;14834;0.0703125
-2;0;2;14850;0.078125
-2;0;2;14867;0.0859375
-2;0;2;14884;0.09375
-2;0;2;14900;0.1015625
-2;0;2;14917;0.109375
-2;0;2;14934;0.125
-2;0;2;14951;0.1328125
-2;0;2;14969;0.1484375
-2;0;2;14985;0.1640625
